State,"Production, U.S. Share","Production, Rank","Consumption per Capita, Million Btu","Consumption per Capita, Rank","Expenditures per Capita, Dollars","Expenditures per Capita, Rank",Federal offshore production is not included in the Production Shares.
WY,6.1,3,874,3,6703,1
AK,1.4,13,874,2,6429,2
ND,4.5,7,804,4,6223,3
LA,4.0,8,903,1,5210,4
SD,0.3,37,447,8,4187,5
MT,0.8,22,395,11,4052,6
IA,1.0,16,479,5,3981,7
NE,0.4,34,440,9,3894,8
WV,5.2,4,449,7,3759,9
TX,24.4,1,461,6,3703,10
AL,1.3,14,366,13,3696,11
VT,0.0,47,196,44,3619,12
ME,0.1,44,268,28,3586,13
IN,0.7,26,378,12,3579,14
MS,0.3,38,351,16,3578,15
KS,0.8,21,364,14,3496,16
KY,0.8,23,354,15,3443,17
AR,0.8,20,344,17,3442,18
NH,0.2,43,215,39,3354,19
OK,4.7,6,399,10,3308,20
SC,0.8,24,299,20,3247,21
HI,0.0,48,160,51,3234,22
ID,0.2,42,298,21,3220,23
NM,4.9,5,330,18,3207,24
CT,0.2,41,185,46,3205,25
DE,0.0,50,279,26,3179,26
WI,0.3,36,290,23,3139,27
TN,0.6,29,295,22,3093,28
MN,0.5,31,303,19,3092,29
MO,0.2,40,277,27,3069,30
MA,0.1,46,182,47,2977,31
OH,3.3,10,289,24,2968,32
VA,0.9,18,263,29,2963,33
CA,2.3,11,175,48,2898,34
GA,0.7,27,254,32,2892,35
PA,9.9,2,263,30,2890,36
MI,0.7,28,259,31,2888,37
RI,0.0,49,160,50,2865,38
OR,0.5,33,232,36,2845,39
AZ,0.5,32,210,40,2834,40
NV,0.1,45,228,38,2819,41
NC,0.8,25,236,35,2748,42
NJ,0.3,35,204,42,2675,43
CO,3.9,9,251,34,2671,44
IL,2.3,12,283,25,2668,45
UT,0.8,19,253,33,2654,46
MD,0.2,39,197,43,2584,47
WA,1.0,15,231,37,2582,48
DC,0.0,51,208,41,2555,49
FL,0.6,30,186,45,2385,50
NY,0.9,17,166,49,2380,51